model,provider,input_per_mtok,output_per_mtok,email_usd,summarize_usd,coding_usd,chatbot_usd
DeepSeek V4-Flash,DeepSeek,0.14,0.28,0.0283,0.0146,0.021,0.21
GPT-5.6 Luna,OpenAI,0.2,1.2,0.1204,0.0224,0.07,0.7
GPT-5.4 nano,OpenAI,0.2,1.25,0.1254,0.0225,0.0725,0.725
Mistral Large 3,Mistral,0.5,1.5,0.151,0.053,0.055,1.0
Kimi K2.6,Moonshot,0.95,4.0,0.4019,0.103,0.1275,2.475
GLM-5.2,Z.ai (Zhipu),1.4,4.4,0.4428,0.1488,0.29,2.9
Claude Haiku 4.5,Anthropic,1.0,5.0,0.502,0.11,0.15,3.0
Grok 4.5,xAI,2.0,6.0,0.604,0.212,0.4,4.0
Gemini 3.6 Flash,Google,1.5,7.5,0.753,0.165,0.45,4.5
GPT-5.6 Terra,OpenAI,2.0,12.0,1.204,0.224,0.7,7.0
Gemini 3.1 Pro,Google,2.0,12.0,1.204,0.224,0.7,7.0
Kimi K3,Moonshot,3.0,15.0,1.506,0.33,0.9,9.0
Claude Opus 5,Anthropic,5.0,25.0,2.51,0.55,1.5,15.0
Claude Opus 4.8,Anthropic,5.0,25.0,2.51,0.55,1.5,15.0
GPT-5.6 Sol,OpenAI,5.0,30.0,3.01,0.56,1.75,17.5
GPT-5.5,OpenAI,5.0,30.0,3.01,0.56,1.75,17.5
